"fipstate","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000","censtate"
"72","5172//",,2924,25952,110341,138,"D",0,0,0,93,,126,1698,4796,18,,168,1082,4804,12,"D",0,0,0,11,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,"06"
"72","51721/",,2924,25952,110341,138,"D",0,0,0,93,,126,1698,4796,18,,168,1082,4804,12,"D",0,0,0,11,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,"06"
"72","517211",,56,220,949,7,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","517212",,2868,25732,109392,131,"D",0,0,0,91,"D",0,0,0,15,"D",0,0,0,10,"D",0,0,0,11,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,"06"
"72","5173//","C",0,0,0,8,"D",0,0,0,2,"D",0,0,0,1,,48,709,2570,4,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51731/","C",0,0,0,8,"D",0,0,0,2,"D",0,0,0,1,,48,709,2570,4,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","517310","C",0,0,0,8,"D",0,0,0,2,"D",0,0,0,1,,48,709,2570,4,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","5174//","B",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51741/","B",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","517410","B",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
