"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","4812//",,34643,397531,1731750,2215,,2034,22111,143467,1331,,2035,19943,86176,317,,3230,32838,141770,240,,6297,65084,272869,211,,4426,45454,183767,64,,5228,65788,271994,35,,3038,34708,146039,8,,4109,53238,234369,6,,4246,58367,251299,3
"98","48121/",,34643,397531,1731750,2215,,2034,22111,143467,1331,,2035,19943,86176,317,,3230,32838,141770,240,,6297,65084,272869,211,,4426,45454,183767,64,,5228,65788,271994,35,,3038,34708,146039,8,,4109,53238,234369,6,,4246,58367,251299,3
"98","481211",,22736,268103,1155289,1466,,1393,16464,112362,878,,1419,14987,63172,220,,1983,22125,92073,148,,4264,45047,188189,146,,2879,31218,122772,42,,3141,39190,158153,21,,2044,25890,111341,5,"D",0,0,0,4,"D",0,0,0,2
"98","481212",,7890,91992,394918,342,,251,2583,15361,187,"D",0,0,0,50,,509,4195,18695,36,,1236,13514,51608,40,,1012,8969,35640,14,,1427,19980,84679,10,,994,8818,34698,3,"D",0,0,0,1,"D",0,0,0,1
"98","481219",,4017,37436,181543,407,,390,3064,15744,266,"D",0,0,0,47,,738,6518,31002,56,,797,6523,33072,25,,535,5267,25355,8,,660,6618,29162,4,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","483///",,64268,779121,3164702,1902,,1411,14846,85247,888,,1889,19618,85347,281,,3267,33686,145650,239,,7959,92442,382904,253,,8361,114986,481185,119,,11161,141007,583330,76,,10686,137272,536457,30,,5585,70999,296556,8,,13949,154265,568026,8
"98","4831//",,45523,587060,2360346,1222,,937,10613,50754,546,"D",0,0,0,181,,2040,23390,101607,152,,5729,72730,296178,180,,5999,93829,392549,85,,6778,91381,376216,47,,6064,83911,333963,17,"D",0,0,0,7,"D",0,0,0,7
"98","48311/",,45523,587060,2360346,1222,,937,10613,50754,546,"D",0,0,0,181,,2040,23390,101607,152,,5729,72730,296178,180,,5999,93829,392549,85,,6778,91381,376216,47,,6064,83911,333963,17,"D",0,0,0,7,"D",0,0,0,7
"98","483111",,12916,193465,784149,471,"D",0,0,0,245,,364,5195,21996,57,,546,7442,30572,41,,2242,35914,133723,67,,2579,49777,199622,37,,2014,27299,103552,14,"D",0,0,0,7,"D",0,0,0,3,,0,0,0,0
"98","483112",,10858,117646,417515,98,"D",0,0,0,56,"D",0,0,0,13,,112,768,3371,9,,125,1526,6265,5,"D",0,0,0,2,"D",0,0,0,7,"D",0,0,0,1,"D",0,0,0,1,,8253,95324,331544,4
"98","483113",,20149,264744,1096771,520,"D",0,0,0,179,,583,5792,25352,85,,1167,13782,60148,86,,2752,31693,137460,89,,3062,41162,178588,42,,3507,50297,214901,24,,3092,44905,174913,9,,1899,33685,130765,3,"D",0,0,0,3
"98","483114",,1600,11205,61911,133,"D",0,0,0,66,"D",0,0,0,26,,215,1398,7516,16,,610,3597,18730,19,"D",0,0,0,4,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","4832//",,18745,192061,804356,680,,474,4233,34493,342,"D",0,0,0,100,,1227,10296,44043,87,,2230,19712,86726,73,,2362,21157,88636,34,,4383,49626,207114,29,,4622,53361,202494,13,"D",0,0,0,1,"D",0,0,0,1
"98","48321/",,18745,192061,804356,680,,474,4233,34493,342,"D",0,0,0,100,,1227,10296,44043,87,,2230,19712,86726,73,,2362,21157,88636,34,,4383,49626,207114,29,,4622,53361,202494,13,"D",0,0,0,1,"D",0,0,0,1
"98","483211",,15117,164679,681179,419,,277,2973,26233,187,"D",0,0,0,60,,813,7491,30622,59,,1421,14149,59389,47,,1929,18578,77752,28,,3983,46338,191958,26,,3507,43164,162777,10,"D",0,0,0,1,"D",0,0,0,1
"98","483212",,3628,27382,123177,261,,197,1260,8260,155,,260,1690,8402,40,,414,2805,13421,28,,809,5563,27337,26,,433,2579,10884,6,,400,3288,15156,3,,1115,10197,39717,3,,0,0,0,0,,0,0,0,0
"98","484///",,1333342,10651716,45067390,111308,,103815,594622,3122574,70376,,100713,651933,2808615,15226,,159800,1141817,4875435,11683,,277877,2229819,9493736,9166,,207632,1784187,7465958,3049,,200166,1838606,7585918,1359,,95978,890304,3608691,286,,74959,669695,2774535,115,,112402,850733,3331928,48
"98","4841//",,882036,7421679,30866727,56746,,49601,308955,1547308,35187,,46303,330255,1368219,6956,,80913,631259,2631940,5890,,161694,1369114,5726639,5254,,141049,1251763,5216750,2052,,152377,1415398,5835550,1028,"D",0,0,0,235,"D",0,0,0,101,"D",0,0,0,43
"98","48411/",,156098,1130862,4903477,21172,,19191,107631,577806,14542,,18201,118294,500523,2753,,27672,191868,813913,2043,,39526,292835,1233691,1310,,24710,195389,847234,367,,20140,170730,702339,141,"D",0,0,0,14,"D",0,0,0,1,"D",0,0,0,1
"98","484110",,156098,1130862,4903477,21172,,19191,107631,577806,14542,,18201,118294,500523,2753,,27672,191868,813913,2043,,39526,292835,1233691,1310,,24710,195389,847234,367,,20140,170730,702339,141,"D",0,0,0,14,"D",0,0,0,1,"D",0,0,0,1
"98","48412/",,725938,6290817,25963250,35574,,30410,201324,969502,20645,,28102,211961,867696,4203,,53241,439391,1818027,3847,,122168,1076279,4492948,3944,,116339,1056374,4369516,1685,,132237,1244668,5133211,887,,74988,701950,2852886,221,,65480,579357,2411839,100,,102973,779513,3047625,42
"98","484121",,472484,3746426,15450337,28882,,26952,176587,844946,18304,,22812,163424,668097,3424,,39191,294867,1214643,2844,,78902,630010,2626741,2555,,71522,594426,2427875,1040,,76836,658717,2669043,518,,35882,305783,1254728,106,,40099,348182,1414863,59,,80288,574430,2329401,32
"98","484122",,253454,2544391,10512913,6692,,3458,24737,124556,2341,,5290,48537,199599,779,,14050,144524,603384,1003,,43266,446269,1866207,1389,,44817,461948,1941641,645,,55401,585951,2464168,369,,39106,396167,1598158,115,,25381,231175,996976,41,,22685,205083,718224,10
"98","4842//",,451306,3230037,14200663,54562,,54214,285667,1575266,35189,,54410,321678,1440396,8270,,78887,510558,2243495,5793,,116183,860705,3767097,3912,,66583,532424,2249208,997,,47789,423208,1750368,331,"D",0,0,0,51,"D",0,0,0,14,"D",0,0,0,5
"98","48421/",,114558,765064,3314099,8781,,6945,37412,197444,4170,,9969,52341,238333,1485,,21117,120979,537904,1513,,35323,239607,1045895,1191,,20762,145028,607289,315,,13430,102786,423613,92,"D",0,0,0,13,"D",0,0,0,1,"D",0,0,0,1
"98","484210",,114558,765064,3314099,8781,,6945,37412,197444,4170,,9969,52341,238333,1485,,21117,120979,537904,1513,,35323,239607,1045895,1191,,20762,145028,607289,315,,13430,102786,423613,92,"D",0,0,0,13,"D",0,0,0,1,"D",0,0,0,1
"98","48422/",,189612,1228474,5650453,33326,,35678,180777,1026911,23671,,32170,187093,855206,4948,,37004,234496,1053657,2769,,45024,318397,1427112,1524,,21507,165028,708508,322,,10638,82307,349878,74,"D",0,0,0,13,"D",0,0,0,4,"D",0,0,0,1
"98","484220",,189612,1228474,5650453,33326,,35678,180777,1026911,23671,,32170,187093,855206,4948,,37004,234496,1053657,2769,,45024,318397,1427112,1524,,21507,165028,708508,322,,10638,82307,349878,74,"D",0,0,0,13,"D",0,0,0,4,"D",0,0,0,1
"98","48423/",,147136,1236499,5236111,12455,,11591,67478,350911,7348,,12271,82244,346857,1837,,20766,155083,651934,1511,,35836,302701,1294090,1197,,24314,222368,933411,360,,23721,238115,976877,165,,7941,78191,314415,25,,5802,52858,219788,9,,4894,37461,147828,3
"98","484230",,147136,1236499,5236111,12455,,11591,67478,350911,7348,,12271,82244,346857,1837,,20766,155083,651934,1511,,35836,302701,1294090,1197,,24314,222368,933411,360,,23721,238115,976877,165,,7941,78191,314415,25,,5802,52858,219788,9,,4894,37461,147828,3
"98","485///",,387325,1919388,7780055,17073,,12575,56618,326162,8234,,15858,58174,240296,2393,,31119,120032,494504,2255,,70703,304729,1256772,2261,,77004,356726,1444042,1101,,100101,494772,1925256,669,,42107,213618,828543,124,,17148,123973,495530,26,,20710,190746,768950,10
"98","4851//",,46194,360891,1482711,751,,380,2117,21341,252,"D",0,0,0,90,"D",0,0,0,89,,4061,20317,82964,125,,6911,41959,171288,96,,10207,68641,279775,66,,6146,46199,186952,18,,6006,65500,269055,9,,10675,107103,432328,6
